,formula,target
20973,H13.68 Al4 Ba1.98 O26.84 Si6,1
20974,In2 Pb1 S4,0
20975,Cu3.18 Te2,1
20976,Ir3 Yb5,0
20977,Mo7 O11 Sn0.6 Tl0.77,1
20978,S3 Sn1.2 Ti0.8,1
20979,K2 O12 P3 Y1 Zr1,1
20980,Ho1 Ni0.716 Ru1.284,1
20981,Cs1 Cu1 S6,0
20982,In19.2 Lu10 Ni9.8,1
20983,Bi2 Yb1,0
20984,Eu0.01 F1 La0.99 O1,1
20985,Cl1 Dy1 Mo1 O4,0
20986,Be6 Ge6 Mn8 O24 S2,0
20987,Ag0.8 Se1.95 Sn1.2,1
20988,Ca0.3 Ni1 O4 Pr1.7,1
20989,Ga13 K3,0
20990,Cr1 La2 O2 Se2,0
20991,Pt23 Si11 Tb3,0
20992,Ru1 Si1 Ti1,0
20993,Ni1 O3.82 Sm1.67 Sr0.33,1
20994,La2 O25 P4 Si2 Sr8,1
20995,Eu1.9 Fe0.1 O7 Ti2,1
20996,Ba6 Cu2.589 In0.411 S16 Sn4,1
20997,Al1.58 Nb1 Ni0.42,1
20998,C4 F1 K3 N4 O1 W1,0
20999,Cs1 I3 V1,0
21000,C6 H17 Ga1 N2 O8 P2,0
21001,O5 Ta2,1
21002,Cr2 Er6 S11,1
21003,Al0.999 La1 Mn0.001 O3,1
21004,Hf1 Se1.75 Te0.25,1
21005,B6 Sm0.7 Tm0.3,1
21006,Os1 P2,0
21007,Li1 Nd1 S2,1
21008,In2 O4 Sr1,0
21009,Ge1 Ni1.7,1
21010,Al0.025 Cr0.975 O3 Y1,1
21011,Fe16.5 Ga0.5 Sm2,1
21012,Gd4 K2 Na2 Nb2 O13,0
21013,Ga1 Ho1 Pt1,0
21014,Er2.38 O6.85 Ti1.62,1
21015,Ba8 Cd8 Ge38,1
21016,Cu2 K2 P4 Se10,0
21017,Ag1 F2 Fe1 O1,1
21018,Bi1 F0.23 La1 O0.77 S2,1
21019,H4 Lu1 Na1 O10 W2,1
21020,B1 Li1 O3 Zn1,1
21021,Cl7 In1 Y2,0
21022,H7 Al2 Er3 Ni6,0
21023,Ag1 Ge2 O12 P3,0
21024,Ge3 Se14 Tb6,1
21025,Mo2 Na2.2 O8 Zn0.9,1
21026,Gd1 Pt1 Si1,0
21027,Pb1.6 S7 Sb3.4,1
21028,In1 Se2 Ta1,0
21029,C3 Sc2,0
21030,Cl1 Nd4 O8 P1,1
21031,Ca1 Ir0.3 O3 Pt0.7,1
21032,As1 Li3 S3,0
21033,Ce3 In1 N0.92,1
21034,Cd1 Dy2 Pd2,0
21035,H9 Ge9 N1 O21,1
21036,Er1 Fe0.93 Mn1.07 O5,1
21037,C1 N2 Tl2,0
21038,Al5 Ce1 Pt3,0
21039,Fe0.12 Mn1.88 Pt2,1
21040,Ba1 Co0.33 Mo0.17 O3 Ti0.5,1
21041,Rh3 Si2,1
21042,In1 Np2 Rh2,0
21043,B4 Pr1 Rh4,0
21044,Fe0.8 O4 Ti0.1002 Zn1.6 Zr0.4998,1
21045,C16 Fe4 O16 Sn1,0
21046,C20 Co6 O18,0
21047,Mo15 Rb2 Se19,0
21048,Cs8 Mo6 O24 Zr1,0
21049,B1 Cr2 Fe12 Nd2,1
21050,Al2 W1,0
21051,C3 Co2 Tb4,0
21052,B0.706 Rh3 Sc1,1
21053,F1 Na1 Nb1 O6 Ti1 Yb1,1
21054,Gd1 K1 Mo2 O8,0
21055,F3 Fe1 Na1,0
21056,Cu3 Mn4 O12 Th1,0
21057,In19 S19.6 Se21.4 Sn12,1
21058,Al1.553 Cr0.244 Mg1.203 O4,1
21059,Mn1 S14 Si2 Sm6,1
21060,La1 Nb1 O6 Te1,0
21061,As3 Cu2.17 Hf1 La1,1
21062,Al8 Ce1 Co1.3 Mn0.7,1
21063,Ag1.5 Au0.5 Se2,1
21064,Cu0.75 Ni0.1 Zn0.15,1
21065,N0.95 Nd1 O3.05 W1,1
21066,Al1.346 Ca2 Fe0.654 O5,1
21067,Nb2 Te3,0
21068,Ca0.8 Ce0.2 O5 Si1 V1,1
21069,Co0.95 La1 O4 Sb0.05 Sr1,1
21070,H2 Cu1 K1 O5 P1,0
21071,La5.84 Mg4 O24 Ta2 W2,1
21072,Cu1 Dy0.75 La1.25 O4.13,1
21073,Ba2 Cu2.85 O7 Re0.15 Y1,1
21074,Dy1 Ga1.7 Ni0.3,1
21075,B4 Dy1 Fe1,0
21076,As1 La1 Rh1,0
21077,La7 P12 Pd17,0
21078,Au1 Br4 K1,0
21079,Eu0.099 Hf2 La2.901 Li7 O12,1
21080,H4 O4 P2 Pb1,0
21081,Bi1 S3 Sm1,1
21082,H2 Co2 Hg2 O11 S2,0
21083,Eu0.296 La0.703 Li1 Mg1 O6 W1,1
21084,Ge1.43 Se7 Tb3,1
21085,Bi1 Rb1,0
21086,B12 I1 In4 Rb3 Se12,0
21087,Cs1 I3 Ti1,0
21088,H18 Br3 O18 Yb1,1
21089,B12 Cl1 Cs3 In4 Se12,0
21090,Fe0.75 Na0.35 O8 Ti3.35,1
21091,Al1.07 Mn0.93 O5 Sr2,1
21092,La0.889 Mn1 O3,1
21093,Ba2 N1,0
21094,Ba2 Er1 Fe3 O8.044,1
21095,H48 Ho2 O52 V10,0
21096,Ba2 Cu2.79 Fe0.15 O6.92 Y1,1
21097,K2 O12 Si4 U1,0
21098,Ca0.8 Na0.2 O4 Pd3,1
21099,H12 Cu1 N6 O6,0
21100,Co3 Ga2 Sm1,0
21101,H0.66 Al0.33 La3 Li6.53 O12 Zr2,1
21102,Co0.5 Ni0.5 U6,1
21103,Lu1.5 O5 Sc0.5 Si1,1
21104,Al2 F12 Pb3,0
21105,B2 Gd1 Na3 O6,0
21106,I3 K1 Ti1,0
21107,Ba1 K2 O8 W2,1
21108,Cu2 O6.77 Pr1 Sr2 Tl0.899,1
21109,H4 Cu1 Na2 O8 Se2,0
21110,C5 H9 N1 O5,0
21111,H4 Be1 O4 P2,0
21112,Ce1 Cl1 Te1,0
21113,Ce1 Ge3 Pd5,0
21114,Cs1 F4 Ti1,0
21115,Fe1 Mn1 O4 Sm1,1
21116,Cu3 Se2 Tl1,0
21117,Ca0.46 Mg0.46 Na0.54 O6 Si2 Ti0.54,1
21118,Se3 Ti8,0
21119,Mn1 Si1 Yb1,0
21120,In8 Rh1 U2,0
21121,Cr1.8 S3 V0.2,1
21122,Co6 Mg1 P4,0
21123,Hf0.064 Th0.936,1
21124,B8 Ba10 F1 K5 O24,1
21125,Ce0.7 Cu2.75 Fe0.25 O8.4 Sr2 Y1.3,1
21126,Ba3 Na0.9 O9 Ru2.1,1
21127,C12 H8 Co1 Na2 O28 U2,0
21128,B2 Co1 Ta1,0
21129,Cu0.2 In0.2 Se2 Zn1.6,1
21130,In1 La2 Si2,0
21131,Ba3 Bi1 Na1 O6,0
21132,H20 Cr0.22 N2 O14 S2 Zn0.78,1
21133,Ho6 O12 U1,0
21134,Al1.773 Cr0.232 Mg0.988 O4 Zn0.006,1
21135,Cu2.6 Fe0.4 O7.3 Sr2 Y1,1
21136,Cd1 Mo1 O6 Te1,0
21137,Ba2 Ca3.4 Cu4 O11.896 Tl1.47,1
21138,Fe1 Na2 Ni2 O12 P3,1
21139,Co1.8 Cr0.4 Ge0.8 O4,1
21140,H3 Al3.44 Ca0.79 Ce5.05 Fe1.14 Mg0.42 Mn0.16 O31 Si7,1
21141,O8 P2 Rb1 W1,0
21142,Ir3 Y1,0
21143,Ba1 N2 O1 W1,0
21144,In5 K10 Sb9,0
21145,Cu0.9 Mo1 O4 Zn0.1,1
21146,Cu3 Sn4 U3,0
21147,Ba2 Fe2 O5,0
21148,C2 F6 Mg1 O6 S2,1
21149,C3 H23 N12 O7 P3,0
21150,C1 Fe17 N1 Y2,1
21151,Gd0.4 In3 Sm0.6,1
21152,Ba2 Li3 N4 Ta1,0
21153,C6 Cr22.23 Fe0.77,1
21154,Cu0.04 La0.7 Mn0.96 O3 Sr0.3,1
21155,K8 Sb4 Sn1,0
21156,Ba1 O8 P2 Ti1,0
21157,Fe2.9 O4,1
21158,Mg0.89 Nd1.54 O7 Ta1.57,1
21159,Ca0.333 In0.01 La0.667 Mn0.99 O3,1
21160,Cr4 Cu3 O12 Y1,0
21161,La1 Ru2 Si2,0
21162,Ca3 Ga2 Pd2,0
21163,Ba2 Ca3 Cu4 Hg0.739 O10.43 Pb0.22,1
21164,S1.85 Te0.15 W1,1
21165,La8 O4 S24 Ti10,1
21166,Cd0.2 O4 Sn1 Zn1.8,1
21167,I1 La2 Ni2,0
21168,Ba1 Ir0.3 Mn0.7 O3,1
21169,H1 F1 Sr1,1
21170,Au4 Nd3,0
21171,Al0.8 La9.33 O25.6 Si5.2,1
21172,C4 Ag1 K3 N4 S4,0
21173,Ca0.45 La0.5 Mn1 O3,1
21174,Bi0.395 Co1.105 O4.498 Sr2.5,1
21175,Ba2 O6 Re1 Y1,0
21176,Al12 Eu0.03 La0.97 N0.95 O18.05,1
21177,H16 Al4 Ni0.5 O20 V2 Zn0.5,1
21178,Ca1 La1 Ni1 O6 Os1,1
21179,Fe0.3 La0.8 Ni0.7 O4 Sr1.2,1
21180,Cu1 Ge5 O14 Pb3,0
21181,Ba4 Cu3 O9 Yb1,0
21182,Cu3 Pd1,0
21183,H6.52 N1.38 O8 Rb1.62 Se2,1
21184,Cs2 O3 Zr1,0
21185,In0.0216 Mg0.9784,1
21186,C6 H18 Cr2 N12,0
21187,As1 Co5 O10 V1,1
21188,Al0.26 Ca0.718 Fe0.099 Mg0.922 Na0.261 O6 Si1.74,1
21189,Na4 O12 Ti5,1
21190,Ga1.4 Ni0.6 Pr1,1
21191,H5.58 F1 Fe2.5 O8.42 P2,1
21192,Cs9.67 N15 W6,1
21193,B2 Gd1,0
21194,Cr2 Mn3 O12 Si3,0
21195,Cs1 Ga7,0
21196,H4 B3 N1 O5,0
21197,H10 O22 Pb2 U5,0
21198,B4 Os5 Sc2,0
21199,Cl2 O6 Sr1,0
21200,Ca0.7 Co1 Nd1.3 O4.03,1
21201,Ce0.1 O2 Pr0.9,1
21202,Cs0.4 O6 Rb0.6 Sc1 Se2,1
21203,Ce1 Co1 Ge3,0
21204,Ru1 Sb3 Zr5,0
21205,Si4 Tb2 Ti3,0
21206,Fe1 Zr3,0
21207,Ga2 Ge5 Pd12,1
21208,Al7.48 Pd18 Zn74.52,1
21209,Cu4 Nb5 Si4,0
21210,Ba2 Cl1 Ga4 Rb1 S8,0
21211,H2 Be4 O9 Si2,0
21212,Bi1 Ce1 F0.66 O0.34 S2,1
21213,Ba0.97 O2.88 Y0.19 Zr0.81,1
21214,Er1 Ge1.4 Ni0.6,1
21215,H20.84 Al8 K4 Na4 O42.42 Si8,1
21216,Ba2 Cu2 O10.34 Sm2 Sn0.4 Ti1.6,1
21217,Lu5 Sb3,0
21218,Ag1 Bi0.149 Cl6 Cs2 In0.851,1
21219,Co0.75 Cu2.25 O7.04 Sr2 Y1,1
21220,Ag9.01 Mg36.81,1
21221,C9 H30 As1 Mo12 N3 O40,1
21222,Fe0.16 La2.95 Li5.68 O12 Zr2,1
21223,Fe2 Rh1 S4,1
21224,C2 H17.384 K0.154 Mg2 N1.846 O16 P2,1
21225,Ca6 N2 O21 Te5,0
21226,C4 B2 Ca9 Cl8,0
21227,As2 Cd2.4 Mn0.6,1
21228,Al5.8 Au5.14 Ba3,1
21229,C4 Hg1 Mn1 N4 S4,0
21230,C2 Mg1 Na2 O6,0
21231,B2 Ce1 Rh2.5 Ru0.5,1
21232,Gd2 O24 Sr9 W4,1
21233,Cd1 Ge1 P2,1
21234,Cl4 Cs1 Re1,0
21235,K0.998 O5 P1 Ti0.998 W0.002,1
21236,Bi1 Br1 Fe1 S2,0
21237,Fe1.8685 Li0.6515 Mn0.462 O4,1
21238,Fe0.2 Mg1.8 O4 Si1,1
21239,Mo0.31 Ru0.69,1
21240,Al4 Au1.96 La1 Si1.04,1
21241,Co40 Si31 Ti13,0
21242,Co1 Li0.35 O2,1
21243,K4 P4 S14 Sm2,0
21244,Au1 Ga1 V3,0
21245,Cu0.8 Ga2.4 Se4,1
21246,Ba2 O6 Pr1 Ru1,0
21247,Cu1.5 La2 Mo0.5 O6,1
21248,Fe1.6 Ge2 Mn0.4 Nd1,1
21249,Fe0.2856 Li0.2856 O0.9996 Zn0.4284,1
21250,F6 Na1 Rb2 V1,0
21251,C1 Cr5 Si3,0
21252,Co1.05 O3 Sc0.95,1
21253,Si1.7 Y1,1
21254,Np1 O1,0
21255,Pt1 Rb2 Se2,0
21256,H20 K2 Mg3 O24 P4,0
21257,Cd0.7 La1 Sb2,1
21258,Ni2 Sn1 Zr2,0
21259,Gd1.1 Ge4 Y3.9,1
21260,Al2 Te3,0
21261,Cu1 La1 O6 Sb1 Sr1,1
21262,Ni0.6 O1 Zn0.4,1
21263,K1 S2 Tb1,0
21264,Ba6 Cu3 Eu1 O10.72,1
21265,Ba1.14 Mn8 O16,1
21266,B1 Cs1 F2 O3 Zn2,0
21267,Ga1.2 In0.8 Se3,1
21268,Co0.32 Fe0.84 Mn0.84 Zr1,1
21269,Al21.83 K2.6 O33.9,1
21270,Ba2 F19 K2.2 Na0.8 Th3,1
21271,Ba3 F1 Fe3 O7,1
21272,C2 H4 Ag1 Eu1 O10 S1,0
21273,Au2 Si2 Sr1,0
21274,Ag2.535 Mo12 Se15 Tl2,1
21275,Au1 Cu0.76 Pd0.24,1
21276,Cr0.96 Cu1 Ga0.03 O2 V0.01,1
21277,Ba1 Cu2.9 Er1 O7.01 P0.1 Sr1,1
21278,Ga0.08 Ni0.92,1
21279,Bi1 Sb1 Sn1 Te4,1
21280,Al0.416 Ca3 Fe1.586 O12 Si3,1
21281,H1 Fe11 Nd1 Ti1,1
21282,Ge3 Sm5,0
21283,Cu4 K1 Nb1 O17 P4,0
21284,B1 Mg3 N3,0
21285,K1 O6 Te2 Y1,0
21286,Fe4 Sc1.2 Si9.86,1
21287,O1.27 Ti3 Zn3,1
21288,H14 Cl2 O16 Zn2,0
21289,Ba0.16 Bi0.74 Fe0.8 Na0.1 O3 Ti0.2,1
21290,Sb3 Y5,0
21291,Cu1 La1 O1 S0.75 Se0.25,1
21292,O4 Ti0.8 Zn2 Zr0.2,1
21293,B6 Co2 Pr5,0
21294,H8 As2.44 B9.56 I2,1
21295,C12 Bi7 Ce21 Fe8,0
21296,Ga2.42 Hf1 Pd0.58,1
21297,P1 Ta2.2 Ti0.8,1
21298,H3 Al2.6 Ca0.34 Cu0.03 Mg0.26 Mn1.77 O14 Si3,1
21299,Ag0.99 Cl6 O2 W2,1
21300,O14 P4 Rb2 Zn3,0
21301,As1 Fe0.85 Ir0.15 La1 O1,1
21302,Ca1 Cu2.95 Ni0.05 O12 Ti4,1
21303,Co1 O6 Pb2 Te1,0
21304,C6 H20.5 N2 O10 P2 Ti1,0
21305,Cr3 F19 Sr5,1
21306,Eu1 O8 Rb1 S2,0
21307,Fe4 Li8 O39 Pr18 Ru1,1
21308,In1 K3 Mo4 O15,0
21309,Bi6.9 Br5 Ni2,1
21310,Cd0.7 Mn0.3 O1,1
21311,Ba0.91 O4 Sm0.09 W1,1
21312,Bi1 Cl1 Mn1 O6 Se2,1
21313,Ca3 Co1 O12 Se4,0
21314,F1 O5 Pb1 Te1 V1,0
21315,Ca2.2 Nd7.8 O25.9 Si6,1
21316,Co1.6 Sc1 Si0.4,1
21317,Cu1.8 Mn1 Ni0.2 Sn1,1
21318,Fe27.76 Nd3 Ti1.24,1
21319,Ce0.04 O3 Pb0.96 Ti0.7 Zr0.3,1
21320,C1 B36 Lu2.1 Si9,1
21321,Fe2 Hf1,0
21322,H39 N10 O20 Rh2 S5,0
21323,Cl1 K0.3 Rb0.7,1
21324,Er1 Ga2.4 Ni2.6,1
21325,Co2.73 Cu0.27 O4,1
21326,Ca0.92 Fe0.24 Mg0.84 O6 Si2,1
21327,Ga1 Gd3 O6,0
21328,B2 Ca1 Rh2,0
21329,Br1 Gd0.2 La0.8 O1,1
21330,In0.14 Mn0.8 O4 W1,1
21331,Ba1 In1 La1 Mn1 O6,1
21332,Ba1.1 La0.9 Mn1 O6 Sb1,1
21333,Be1 F4 Pb1,0
21334,Ag1 Cs2 I3,0
21335,Ba2 Ni1 O8 P2,0
21336,Ca2 Dy3 O14 Sb3,1
21337,Ba2 Cu3 Gd0.8 O7 Y0.2,1
21338,Nd0.1 O4 Pr0.9 Ta1,1
21339,Cr5 Ni1 Sn12,1
21340,Ba7 Se13 Sn3,0
21341,Cr3.05 Nb1.95 Si3,1
21342,C0.8 Br1.64 Cl1.36 Hg20 I3 O8.4 S0.2,1
21343,Mo1 O6 Sb2,0
21344,C4 H7 Co1 O16 Si8,0
21345,C0.9 Zr1,1
21346,Ba2 Ca0.1 Cu3 O6.55 Y0.9,1
21347,Cs1 O8 Ta1 V2,0
21348,Eu1 O3 Sc1,0
21349,Cd0.65 Mn0.35 Te1,1
21350,Co0.43 Fe0.11 Mo0.26 Ni0.57 P1 V0.63,1
21351,Cl3 Sc1,0
21352,C2 Dy0.5 Sm0.5,1
21353,Cu3 Er0.667 O12 Ti4,1
21354,H1 I8 La3 O25,0
21355,C4 H9 N2 O8 Tm1,0
21356,Fe1 O0.04 Se0.46 Te0.5,1
21357,Os2 Si2 Y1,0
21358,Er2 Ru3 Si5,0
21359,Co1 Mg1 Nd1 Ni3,1
21360,La0.6 O3 Sc1 Y0.4,1
21361,Ga0.4 Ge5.6 Mn6 Tm1,1
21362,Gd3 Ni1,0
21363,Er1 Ga2 Ni3,1
21364,Ca0.009 Fe0.141 Mn0.783 Nb1.775 O6 Ta0.178 Ti0.032,1
21365,Ba1 O2.5 V1,1
21366,B2 Mg2 P0.92 Rh5,1
21367,Ca2 Mn0.375 O4 Ti0.625,1
21368,Hf1 La1 O11 Ta3,1
21369,Fe0.09 Mg0.91 O3 Si0.98,1
21370,O1 Ti0.92 V0.08,1
21371,Er0.52 Mg0.48,1
21372,Al12.59 Fe6.41,1
21373,Bi0.5 Sb0.5 Te2 Tl1,1
21374,Bi0.2 O7 Sn2 Y1.8,1
21375,S2 W1,0
21376,Cu0.5 Fe1.5 Mn1 O4,1
21377,Co1 In1 O3,0
21378,Bi0.333 O12 P2.667 Pb0.167 Si0.333 Zr2,1
21379,Co1 Ga5 Tm1,0
21380,Pr1 Ru4 Sb12,0
21381,Au50.82 Ho14,1
21382,As0.487 Na1 P6.513,1
21383,Mn1 Na1 Sb1,0
21384,Cu2 Te3 Ti1,0
21385,S3 U1 V1,0
21386,Ce0.2 Pu0.8,1
21387,La2.872 Li7.031 O12.221 Sr0.081 Ta0.583 Zr1.393,1
21388,Al1 Ca0.99 Eu0.01 O4 Y1,1
21389,Pt2 Yb5,0
21390,O4 P1 Pu1,0
21391,Cs2 Cu2 P2 Se6,0
21392,Ba0.96 Eu0.08 K2 O8 P2 Sr0.96,1
21393,Mn1 O4 Pb2,0
21394,Cu0.34 Ga3.66 Yb1,1
21395,Al1 Mg4 Si3,0
21396,La1 Pd1,0
21397,Er0.86 Te1,1
21398,Mg1 Pt1 Sb1,0
21399,Au1 Cs3 O1,0
21400,Eu0.08 Ge12 Li4 Sr7.92,1
21401,Ba2 Eu1 O6 Ta1,0
21402,C1 Hf3 Zn3,0
21403,Al0.445 Ca0.58 Fe0.155 Mg0.4 Na0.42 O6 Si2,1
21404,H1 Ca1 K3 O8 P2,0
21405,H2 O8 Pb4 S1,0
21406,H10 F5 Fe1 N2 O1,0
21407,C4 Cl21 Cs3 Tb10,0
21408,Hf0.42 Ni0.67 Ti0.91,1
21409,Ba2 Cu3 La0.5 O7 Pr0.5,1
21410,Cl2.24 Sr0.88 Th0.12,1
21411,Ca9.81 O28 P7 Yb0.459,1
21412,Fe1.8 Ga1 O4 Zn0.2,1
21413,C2 B2 Nd4,0
21414,K1 Mo2 O13 P3,1
21415,B3 Cs1 O9 Zn4,0
21416,Cu5 O21 Rb2 S5,0
21417,As1 Bi1 Co1 O5,0
21418,As2 Co1 U1,0
21419,F6 Li2 Sn1,0
21420,Al5 Dy2 Fe12,1
21421,Ba10 Ge7 O3,1
21422,Ca3 P2,1
21423,C0.588 Al1.488 Fe15.512 Nd2,1
21424,Br12 Os1 Se2,0
21425,C1 H9 N7 O3,0
21426,Ag2 Fe1 S16 Sn4 Sr6,1
21427,Fe1 La0.6 O2.976 Sr0.4,1
21428,Na0.39 O3 W1,1
21429,Mo0.5 O3 Sr1 Zr0.5,1
21430,Al1.898 Fe0.071 Mg0.933 O4,1
21431,Al0.3 La1.75 Ni0.7 O4 Sr0.25,1
21432,Ag0.25 Ga0.25 Se1 Zn0.5,1
21433,C2 H12 O12 P2 U1,0
21434,Bi2 Cl5 K3 O10 S2,1
21435,Al1 Mn1 Tb1,1
21436,C2 Mg3 O7,1
21437,Li3.25 O13 V6,1
21438,Ba5.4 Si46 Sr1.78,1
21439,Ga3 Nb5,0
21440,Sb7 Ti2.7 Zr4.3,1
21441,Cd0.844 Ce0.832 Cu2 O9 Sr2.076 Y1.248,1
21442,Ba1 Cu3 O6.42 Sm1 Sr1,1
21443,Ni18 Pd7 Si9,1
21444,F6 K2 Ti1,1
21445,Eu1 Sb2 Zn2,0
21446,Ge13 Ir4 Y3,1
21447,Mg1.015 O4 V1.942,1
21448,Ga1 Sm1,0
21449,Cd0.011 Zn0.989,1
21450,Al5.1 Cl2 Ga0.9 Na8 O24 Si6,1
21451,Cl3 La3 Na2 O12 Te4,0
21452,Cu10 Ga34 Ta7,1
21453,O5 U2,0
21454,B1 Hf1,0
21455,C2 Cd0.2 N2 Zn0.8,1
21456,Al2.5 Cu0.5 Hf1,1
21457,La1 Ni0.95 Zn4.05,1
21458,Ru1 Ta1 Te4,0
21459,As2 Ge1 K2,0
21460,C6 Cr1 Cs2 K1 N6,0
21461,Cd0.1428 Cu2.5704 Ge1.2852 Te3.9984,1
21462,Ag1 Ba0.655 K0.345 Te2,1
21463,Au1 Cl7 Te1,0
21464,Fe0.45 Li0.1 Nb1 O6 W1,1
21465,Ag7 Nb1 S6,1
21466,Bi1.78 S2.88 Sn0.22,1
21467,Ca5 P6 Pd6,0
21468,Al0.03 Bi1 Mn0.97 O3,1
21469,Er0.35 La0.15 O1.75 Zr0.5,1
21470,Fe17 N2.9 Pr2,1
21471,Fe0.31 Ga2.46 Se4,1
21472,Nd1 Zn1,0
21473,Eu1 In2 Pt1,0
21474,Ce1 Pt2.1 Sb1.73,1
21475,Mn1 Na3 O12 P3 Ti1,1
21476,Co1.66 Nb1 Si0.34,1
21477,Ag5.4 Ba8 Si40.6,1
21478,P4 Th3,0
21479,Cd1 P14 Pb1,0
21480,C5 Ag2 Fe1 N6 O1,0
21481,C12 H36 Fe1 N3 O15 S6,1
21482,H1 N1 S7,0
21483,Cu0.8 Ga1.2 Nd1,1
21484,C12 H30 O22 U2 Zn1,1
21485,As1 Se1 Sm1,0
21486,Bi1 Cu4 Fe1 Pb1 S6,0
21487,B2 La1 Os2,0
21488,Ag1 Dy1 Sn1,1
21489,Ca1 Ga1.14 Sn0.86,1
21490,As2 Cu1 Fe0.46 Hg0.38 S6 Tl1 Zn1.16,1
21491,As5 I1 Te7,1
21492,Cu6 Mo5 O18,0
21493,H14 Cu0.45 Fe0.09 O11 S1 Zn0.46,1
21494,Li0.978 Ni1.022 O2,1
21495,K0.012 O16 Ti8,1
21496,Al2 Gd0.5 U0.5,1
21497,Cs1 O1 S2 V2,0
21498,As1 Be1 O4 Tl1,1
21499,C3 Re2 U2,0
21500,Al1 Co2 Cr1,0
21501,C1.484 B13.777,1
21502,Er1 F1 Mo1 O4,0
21503,La0.608 Li0.18 O3 Ti1,1
21504,Nb0.264 O2 Ti0.736,1
21505,Ba0.3 Bi0.7 F0.3 Fe1 O2.7,1
21506,C4 Al3.84 Si0.16 Zr1,1
21507,Ba2 Cu3 O7 Y1,1
21508,Al0.2 Mn0.8 Na0.67 O2,1
21509,Co2 Ge3 Tb3,0
21510,Pd3 Si1,0
21511,Ba1 Ga2 Se4,0
21512,Co1 Sb1,0
21513,Cs0.75 Cu5.25 Nd2 Te6,1
21514,Al7 B4 Li1 O17,1
21515,Fe17 N1 Sm2,1
21516,H4 Cu1 O6 P2,0
21517,S2.26 Sb2 Se0.74,1
21518,C2 Cl1 N2 Ni1 Rb1,0
21519,Ca0.5 Ce0.5 Fe4 Sb12,1
21520,Ba1 O3 Sn0.12 Ti0.88,1
21521,Cr0.8 Ni0.2,1
21522,Ba3 P6 Si4,0
21523,Ho1 O4 P0.1 V0.9,1
21524,Eu0.4 Yb0.6,1
21525,Cl1 N1 Sr2,0
21526,Ba6 Nb14 O47 Si4,0
21527,O4 Sn0.35 Ti0.35 Zn2 Zr0.3,1
21528,Eu8 In17.33 S34,1
21529,Ag1.2 Gd0.8 Rb0.4 Te2,0
21530,Cd1 Li2 Se4 Sn1,0
21531,Mn2 O12 P4,0
21532,Fe1 S1 Se1 Tl1,1
21533,Ba2 Cl1 F7 Mn1 Ni1,0
21534,Ba1 Ni1 O5 Pr2,0
21535,B2 Ba1 O6 Zn2,0
21536,Ca0.68 O5 Si1 V1 Yb0.32,1
21537,Ba0.81 Ca0.78 Fe2.5 Nd0.91 O6.43,1
21538,Bi0.5 Eu0.047 Na0.5 O3 Ti1,1
21539,C54 H133.5 Ge4.43 K3 N14.5 O18 Si4.57,1
21540,H176 Al32 Cl2 O162 S9,1
21541,Cl1.82 Mo1.2 O8 Pb6.8,1
21542,Co3.1 Cu2.34 Nd0.78,1
21543,Al2.8 Co3.2 Gd14,1
21544,Ca3 Ga4 Ni4,0
21545,Ca1 Cl2 Co4 O12 Te4,0
21546,Cu2 Ge1 S4 Sr1,0
21547,La0.932 Mn0.932 O3,1
21548,C6 Cr16 Fe5 Mo2,1
21549,Ba2 O15 P5 Rb1,0
21550,Li0.6 Ni0.2 O5 P1 Ti1,1
21551,C3 Al5.5 Mn1.5 W6,1
21552,Cs4 Se13.17 Te9.83,1
21553,Cl10 Pd3 Tl4,0
21554,F1 Fe1 Na2 O4 P1,1
21555,Co1 Nd3,0
21556,C1 H20.24 Na2 O13.12,1
21557,Ni1 Rh1,1
21558,Bi1 Mg1 O5 V1,0
21559,H0.2 Fe2 Zr1,1
21560,La0.6 O4 P1 Pr0.4,1
21561,Cu0.1 Mn0.6 Na0.44 Ni0.3 O2,1
21562,Ge6 Ir7 Sc4,0
21563,Cr0.5 Cu0.333 La1 Nb0.167 O3,1
21564,As1 Pb2 Pd3,0
21565,Ba1.8 Cu3 Eu1 O6.94 Pr0.2,1
21566,Ba0.99 Eu0.01 K1 O4 P1,1
21567,Co2 Ge2 Th1,0
21568,Co1 Fe2 O3.984,1
21569,C11 H33 Co1 I1 P3,0
21570,Ga2 Ni1 Sc1,0
21571,Cd1 Mo3 O16 Y4,1
21572,Bi1 Rh0.81,1
21573,H29 B20 O4.5 Pb2,1
21574,Ni0.92 Ti0.08,1
21575,La0.67 Mn0.85 O3 Sr0.33 V0.15,1
21576,Ba0.81 Ca6 K0.19 O17 S2 Si2,1
21577,La0.82 Mn1 O3.021 Sr0.17,1
21578,Co0.1 Mn0.9 O4 W1,1
21579,Dy5 Mg24,0
21580,Nb0.22 Ni1 Se7 Ta1.78,1
21581,Al8 Ge38 K8,1
21582,Co0.5 Ge1 S7 Y3,1
21583,C1 Fe1 N2,0
21584,Ag1 As1 F6,1
21585,Al2 Ca1.55 Sb6 Yb3.45,1
21586,Ca3 Fe1 O6 Rh1,0
21587,Ag1 Cu1 Ga2 Se4,1
21588,C1 Pr3 Sn1,0
21589,Co0.094 Ni0.906 Sb3,1
21590,Ga2 Gd3,0
21591,Ag0.66 Ca1 Mg1.34,1
21592,Au13.35 Ce7 Ge9.65,1
